gene,condition,guide_correlation,correlation_ceiling,n_signif_union
CXorf40A,Rest,0.058646514823049,,42
CYB5D1,Rest,-0.2755430775754836,,9
CYB5R4,Rest,0.8637700382504715,0.8980272261262844,66
CYB561D2,Rest,0.9137225371159886,0.9604522569537924,39
CYC1,Rest,0.3068421354226716,0.7553114689926551,48
CYLD,Rest,-0.219324471496553,,27
CYP4V2,Rest,0.8468701140658252,0.8315567009789401,23
CYTH3,Rest,0.7299973536019632,,85
DAXX,Rest,0.4476685989795744,0.9001604951270598,78
DCAF5,Rest,0.4425433179428073,0.9565711301501236,11
DCAKD,Rest,-0.3263205711254108,,224
DCTPP1,Rest,-0.1584980574049894,,885
DDA1,Rest,0.8357699638642604,0.9504698977342472,48
DDRGK1,Rest,0.691849828091609,0.7814257910579906,504
DDX1,Rest,0.2357124932011954,0.7735785153422843,119
DDX6,Rest,0.1187435825746393,0.2337806604356669,476
DDX17,Rest,0.8719882297753658,0.9271297750200882,129
DEF8,Rest,-0.1164659303267941,0.4225193676185915,251
DEFA6,Rest,0.396719962275348,0.3005568938137412,22
DEK,Rest,0.4269681673647389,0.9498295866902716,22
DENR,Rest,0.7139051216914905,0.8723246944599644,450
DHPS,Rest,0.4840274352507275,0.8007805488828025,164
DHRS7,Rest,0.5873608773063348,0.8102179989162918,73
DHX36,Rest,0.7506213676614301,0.8597319516800407,1447
DIS3L2,Rest,-0.1937528527241144,,445
DLG3,Rest,0.1196879915265944,,8
DLG4,Rest,0.3524804147054196,0.3613494618493491,418
DMRTA2,Rest,0.0625421884341202,0.8163662039709683,69
DNAAF2,Rest,0.58205972877205,0.8737844004546116,49
DNAH3,Rest,-0.3385811134935565,0.1633499075286153,1743
DNAJB9,Rest,0.9265233431116958,0.8978238310709926,96
DNAJB11,Rest,0.5319700207339078,0.9494583538718344,27
DNAJC3,Rest,0.643970233482992,0.9103309180122175,21
DNAJC4,Rest,-0.4595898447249374,0.7014982981718787,9
DNAJC8,Rest,0.9071481310891004,0.9524633746430282,42
DNAJC24,Rest,0.8322097807833605,0.9470127783336568,13
DNMT3A,Rest,0.0942398634473692,0.8102389432757529,59
DNTTIP1,Rest,0.7461621203339567,0.9538910110313328,11
DOCK2,Rest,0.6575040792310712,0.1462331726128787,795
