gene,condition,activation_coef_rank,polarization_coef_rank,is_known_polarization_reg
FKBP5,Rest,0.1936408652593171,0.1842585353140474,False
FKBP5,Stim48hr,0.1971204188481675,0.4727748691099476,False
FKBP5,Stim8hr,0.5797249108507386,0.2552215995924605,False
FKBP8,Rest,0.3463643471462079,0.4365389627313005,False
FKBP8,Stim48hr,0.5685863874345549,0.699738219895288,False
FKBP8,Stim8hr,0.1018848700967906,0.4867549668874172,False
FKRP,Rest,0.2606202762574928,0.8767266093302059,False
FKRP,Stim48hr,0.5740837696335078,0.9672774869109948,False
FKRP,Stim8hr,0.1309220580743759,0.9179826795720836,False
FLAD1,Rest,0.0664581704456606,0.3208235600729737,False
FLAD1,Stim48hr,0.6654450261780105,0.0437172774869109,False
FLAD1,Stim8hr,0.129648497198166,0.5351502801833927,False
FLCN,Rest,0.4401876465989054,0.4057857701329163,False
FLCN,Stim48hr,0.4400523560209424,0.2761780104712042,False
FLCN,Stim8hr,0.3380030565461029,0.3178807947019867,False
FLI1,Rest,0.034401876465989,0.965076882981496,False
FLI1,Stim48hr,0.5235602094240838,0.1400523560209424,False
FLI1,Stim8hr,0.1360163015792155,0.5170657157412124,False
FLT1,Rest,0.524107375553818,0.4910086004691165,False
FLT1,Stim48hr,0.8604712041884817,0.5350785340314136,False
FLT1,Stim8hr,0.3614365766683647,0.2786551197147223,False
FLVCR2,Rest,0.416731821735731,0.3760750586395621,False
FLVCR2,Stim48hr,0.5612565445026177,0.625130890052356,False
FLVCR2,Stim8hr,0.9088130412633724,0.3670402445236882,False
FMR1,Rest,0.6763096168881939,0.9762835548605682,False
FMR1,Stim48hr,0.2426701570680628,0.9471204188481676,False
FMR1,Stim8hr,0.4834437086092715,0.8405501782985226,False
FN1,Stim48hr,0.3248691099476439,0.7096858638743455,False
FN1,Stim8hr,0.8112582781456954,0.0552725420275089,False
FN3K,Rest,0.2191816523325514,0.3875423507948918,False
FN3K,Stim48hr,0.4272251308900524,0.1777486910994764,False
FN3K,Stim8hr,0.7664289353031075,0.0674987264391237,False
FNBP4,Rest,0.3255147250456085,0.0581183216054209,False
FNBP4,Stim48hr,0.599476439790576,0.3044502617801047,False
FNBP4,Stim8hr,0.7457972491085074,0.1123280692817116,False
FOS,Rest,0.9692468074016158,0.8660411780036487,False
FOS,Stim48hr,0.0518324607329842,0.6099476439790575,False
FOS,Stim8hr,0.7776362710137544,0.5124808965868568,False
FOSL2,Rest,0.0844409695074276,0.1120667187907219,False
FOSL2,Stim48hr,0.406282722513089,0.45,False
FOSL2,Stim8hr,0.4159449821701477,0.499745287824758,False
FOXD2,Rest,0.1527234818868908,0.0497784727651811,False
FOXD2,Stim48hr,0.5031413612565445,0.1921465968586387,False
FOXD2,Stim8hr,0.1754966887417218,0.2012226184411615,False
FOXD4L1,Rest,0.5285379202501954,0.9158196507688298,False
FOXD4L1,Stim48hr,0.462565445026178,0.7429319371727748,False
FOXD4L1,Stim8hr,0.5524707080998472,0.8751910341314315,False
FOXK1,Rest,0.0117279124315871,0.0849622100599426,False
FOXK1,Stim48hr,0.6159685863874346,0.0023560209424083,False
FOXK1,Stim8hr,0.6273560876209883,0.1571574121242995,False
FOXM1,Rest,0.4435757101902528,0.8332030231952046,False
FOXM1,Stim48hr,0.8989528795811519,0.2416230366492146,False
FOXM1,Stim8hr,0.8229750382068263,0.803871625063678,False
FOXN2,Rest,0.1879072191816523,0.8511858222569716,False
FOXN2,Stim48hr,0.8926701570680629,0.618324607329843,False
FOXN2,Stim8hr,0.7226184411614875,0.8084564442180336,False
FOXO1,Rest,0.9012249152984102,0.1506385196768308,False
FOXO1,Stim48hr,0.093979057591623,0.6746073298429319,False
FOXO1,Stim8hr,0.5644421803362201,0.010697911360163,False
FOXO3,Rest,0.6239249413604379,0.7680479541308314,False
FOXO3,Stim48hr,0.9557591623036648,0.893455497382199,False
FOXO3,Stim8hr,0.8869077941925624,0.1647987773815588,False
FOXO4,Rest,0.977326035965598,0.327339066979411,False
FOXO4,Stim48hr,0.6005235602094241,0.3664921465968586,False
FOXO4,Stim8hr,0.6841569026999491,0.5053489556800815,False
FOXQ1,Rest,0.7216575449569976,0.930153765962992,False
FOXQ1,Stim48hr,0.6162303664921466,0.7115183246073299,False
FOXQ1,Stim8hr,0.1507896077432501,0.9679062659195108,False
FOXR1,Rest,0.9851446442533228,0.7146207974980453,False
FOXR1,Stim48hr,0.6020942408376964,0.4274869109947644,False
FOXR1,Stim8hr,0.8925114620478859,0.5415180845644422,False
FOXRED1,Rest,0.5876987229606463,0.3721657544956998,False
FOXRED1,Stim48hr,0.6641361256544502,0.3722513089005235,False
FOXRED1,Stim8hr,0.3825776872134488,0.0590932246561385,False
FOXS1,Rest,0.0727130570758405,0.892624446181913,False
FOXS1,Stim48hr,0.6167539267015707,0.3280104712041884,False
FOXS1,Stim8hr,0.8464085583290881,0.2659195109526235,False
FPGS,Rest,0.0849622100599426,0.1759186864738076,False
FPGS,Stim48hr,0.4146596858638743,0.4780104712041885,False
FPGS,Stim8hr,0.3318899643402954,0.1316861946001019,False
FPGT,Rest,0.4143862392494136,0.711753974459213,False
FPGT,Stim48hr,0.9036649214659686,0.1866492146596858,False
FPGT,Stim8hr,0.7205807437595517,0.0348955680081507,False
FRA10AC1,Rest,0.5329684649465728,0.6325254104769351,False
FRA10AC1,Stim48hr,0.9604712041884816,0.400261780104712,False
FRA10AC1,Stim8hr,0.9633214467651554,0.6760061130922058,False
FRG1,Rest,0.6893406307010685,0.033359395360959,False
