,target_contrast_gene_name,logfc_pearson_r,logfc_pearson_pval,random_r1,random_r2,random_r3,comparison,condition,donor_correlation_mean,n_degs_MASH_K562,n_degs_MASH_Rest,n_degs_MASH_Stim48hr,n_degs_MASH_Stim8hr
74,RGS10,0.5756627764195665,0.0,-0.007046099434601401,0.016235771597550255,-0.03340540104556812,K562 vs CD4+T (Rest),Rest,,11.0,5.0,5.0,5.0
75,KEAP1,0.5731244459415679,0.0,0.019798743715980033,0.014491532972494996,-0.01644063787223206,K562 vs CD4+T (Rest),Rest,0.4150019163871494,78.0,74.0,75.0,67.0
76,TAF11,0.5727692463023502,0.0,-0.057370354179284384,0.05443601133958074,0.0379978631164805,K562 vs CD4+T (Rest),Rest,0.5711476387583597,51.0,1022.0,980.0,1116.0
77,INO80C,0.572554657461675,0.0,0.029851919996948043,-0.014545413728263587,-0.015629329815642624,K562 vs CD4+T (Rest),Rest,0.6580805917786222,23.0,295.0,312.0,316.0
78,GABPB1,0.5710552276319523,0.0,0.026097229667718123,-7.199433946491161e-05,0.1018188142774777,K562 vs CD4+T (Rest),Rest,0.5278705989629944,36.0,478.0,433.0,514.0
79,WDR59,0.5701999496532923,0.0,0.08194159313291109,-0.003890183701102286,0.01788089167776495,K562 vs CD4+T (Rest),Rest,0.4528834810362236,44.0,339.0,399.0,360.0
80,FUBP1,0.5692607704773407,0.0,0.007015909374694949,-0.0052902313229362926,-0.029894718686763525,K562 vs CD4+T (Rest),Rest,0.5139076102344835,7.0,550.0,606.0,589.0
81,RPTOR,0.5692528619509313,0.0,0.04531895727006578,0.07384012746154762,0.1467234884907655,K562 vs CD4+T (Rest),Rest,0.4563453008434137,12.0,252.0,198.0,275.0
82,ZC3H3,0.5678871099379281,0.0,0.0027091118064815458,-0.016143733042260903,-0.012452068099065256,K562 vs CD4+T (Rest),Rest,0.1757899366755194,36.0,129.0,124.0,142.0
83,GPATCH8,0.5677579963165938,0.0,-0.0028945349956645203,-0.021344486874021306,0.019930049365494418,K562 vs CD4+T (Rest),Rest,0.8184036042418462,16.0,171.0,184.0,180.0
84,UBE2G2,0.5667195186969677,0.0,-0.006006962863657229,0.027156025534799153,0.035748797278417864,K562 vs CD4+T (Rest),Rest,-0.1284359297940571,18.0,138.0,131.0,151.0
85,SP1,0.5660696656622947,0.0,0.019117218903580833,-0.00850954261367965,-0.0027023767397959895,K562 vs CD4+T (Rest),Rest,0.4864025817503575,47.0,203.0,246.0,218.0
86,CLUH,0.565970878894511,0.0,0.0003609715579610505,0.03053873532413799,-0.015953435106742842,K562 vs CD4+T (Rest),Rest,0.3442890255648455,30.0,83.0,102.0,85.0
87,CDK2,0.5653544603602199,0.0,0.027655279546490767,0.001998249045731545,0.014989926859513922,K562 vs CD4+T (Rest),Rest,,13.0,46.0,87.0,57.0
88,PPP1R11,0.564706267085662,0.0,-0.03088613996147966,0.014698398451877048,0.034838010381172235,K562 vs CD4+T (Rest),Rest,0.2853762635464202,18.0,184.0,201.0,231.0
89,CNOT11,0.5641772813628726,0.0,-0.03147011616316003,0.00494565595453381,-0.010261145050705082,K562 vs CD4+T (Rest),Rest,0.1692969970368392,35.0,202.0,195.0,227.0
90,ABHD14B,0.5635676532893128,0.0,-0.017428422769214913,0.015389150665611171,-0.023374857484854003,K562 vs CD4+T (Rest),Rest,,11.0,11.0,11.0,10.0
91,INTS14,0.5586852597592513,0.0,0.01569896694398228,0.007612118857462644,-0.04483598235209013,K562 vs CD4+T (Rest),Rest,0.3307037905253164,49.0,342.0,337.0,354.0
92,TFAM,0.5583454619498124,0.0,-0.056294810753997934,-0.046145682441077626,-0.04543384002276344,K562 vs CD4+T (Rest),Rest,0.8032861257139978,26.0,399.0,718.0,426.0
93,ATF4,0.5575622586928443,0.0,-0.0004176321298863814,0.02970986848532763,-0.050959039874790564,K562 vs CD4+T (Rest),Rest,0.5638439935683435,10.0,151.0,165.0,229.0
94,PDS5B,0.5568163948848281,0.0,0.01117527380059029,0.05171488715659477,0.024331237785399577,K562 vs CD4+T (Rest),Rest,,7.0,64.0,72.0,73.0
95,MBTPS1,0.5555584410859579,0.0,-0.023248466547269253,-0.026473528546398322,0.003886443905838503,K562 vs CD4+T (Rest),Rest,0.7819955470641418,8.0,89.0,215.0,105.0
96,NELFCD,0.5547034293596118,0.0,0.016015879885841966,0.04355187080602871,0.018260533382129376,K562 vs CD4+T (Rest),Rest,0.4738546269536092,410.0,275.0,214.0,311.0
97,COA3,0.552954641398681,0.0,0.02716037336638516,0.009743799240548648,0.031892024234011745,K562 vs CD4+T (Rest),Rest,0.5093438943533833,4.0,120.0,141.0,135.0
98,ELOF1,0.5526317503798867,0.0,0.009398129849795822,-0.01532194320291801,0.022226483296601783,K562 vs CD4+T (Rest),Rest,0.5054910064662493,378.0,2010.0,2106.0,2120.0
99,LAMTOR2,0.55095541395299,0.0,-0.007530417026622696,0.0399265918645855,-0.06544086626810314,K562 vs CD4+T (Rest),Rest,0.5787046883305744,16.0,289.0,484.0,340.0
100,KIFAP3,0.5503830813865831,0.0,0.03246880385545088,-0.014101410365621656,0.044639413191508485,K562 vs CD4+T (Rest),Rest,0.5558956876614476,16.0,653.0,646.0,664.0
101,EIF3J,0.5496392054038922,0.0,0.02964744391535565,0.0016847234474470186,-0.2015720522652549,K562 vs CD4+T (Rest),Rest,0.4629762649644536,18.0,107.0,99.0,117.0
102,PNPT1,0.5487059928519353,0.0,-0.0019953133232786264,0.09621961419766273,0.034105737834390804,K562 vs CD4+T (Rest),Rest,0.2269199341647996,14.0,188.0,245.0,271.0
103,ALG2,0.5483991454275067,0.0,0.01661060199610949,-0.002742031075557422,0.01789179662639412,K562 vs CD4+T (Rest),Rest,0.0778655961985651,86.0,67.0,58.0,87.0
104,BTF3L4,0.5480050498234708,0.0,0.0003973800239021573,0.03837260541208094,0.005170873794927327,K562 vs CD4+T (Rest),Rest,,17.0,6.0,7.0,7.0
105,RBM27,0.5471499352044624,0.0,-0.0008917045852976473,-0.05759134103366459,-0.02297563633443554,K562 vs CD4+T (Rest),Rest,0.4236150309499022,9.0,233.0,183.0,236.0
106,ZC3H4,0.5467886640250824,0.0,-3.55266127422503e-05,0.035735418282366344,0.0070217229635547605,K562 vs CD4+T (Rest),Rest,0.5043563437392793,120.0,144.0,133.0,157.0
107,TAF6L,0.5460109483745847,0.0,0.01777326294244859,-0.01811682500891048,-0.00435186107412586,K562 vs CD4+T (Rest),Rest,0.670703914670062,92.0,1845.0,1813.0,2040.0
108,NCAPG2,0.5455632262174063,0.0,0.09982705323380041,0.07922596455200824,-0.1330205727377531,K562 vs CD4+T (Rest),Rest,0.1303074901095259,20.0,466.0,522.0,571.0
109,TSC1,0.5454486431308057,0.0,0.018950034540307827,0.006543254681131548,0.017547109232096812,K562 vs CD4+T (Rest),Rest,0.6671262156296968,14.0,417.0,401.0,303.0
110,ELAVL1,0.5439198954724946,0.0,-0.10162490061767875,-0.015164610809518385,0.08083950657033931,K562 vs CD4+T (Rest),Rest,0.664927556802715,46.0,976.0,1026.0,1042.0
111,C16orf72,0.5430655061538603,0.0,0.06196905572142024,-0.01388028343824722,0.012492390300301286,K562 vs CD4+T (Rest),Rest,0.6664143394239649,36.0,461.0,488.0,437.0
112,ELP5,0.5415546084598264,0.0,-0.020068345712738554,0.04075412944499191,0.05363088680086449,K562 vs CD4+T (Rest),Rest,0.6729172667396973,68.0,219.0,188.0,237.0
113,VPS26B,0.5398743523130535,0.0,0.05647882247415499,0.04483260790352807,-0.0007966442380045536,K562 vs CD4+T (Rest),Rest,,5.0,53.0,50.0,57.0
114,DENR,0.5395811088165985,0.0,-0.05046603284294666,0.07412495362527297,0.06444032683629698,K562 vs CD4+T (Rest),Rest,0.6125827295374654,380.0,1309.0,1127.0,1398.0
115,SCOC,0.5393471706377051,0.0,0.005582212331499872,0.035915165052287513,0.008716924619360142,K562 vs CD4+T (Rest),Rest,,9.0,14.0,13.0,15.0
116,UBA5,0.5384428689097509,0.0,0.012005290352885467,-0.016346257278571127,-0.011851802286006453,K562 vs CD4+T (Rest),Rest,0.5376110162752085,40.0,280.0,230.0,290.0
117,ARFGAP1,0.5377606149587097,0.0,-0.020565446717056807,0.028008550694930336,0.005525102714092138,K562 vs CD4+T (Rest),Rest,,7.0,9.0,12.0,11.0
118,MBIP,0.5374312343679568,0.0,0.02782018705842945,0.028355206088689456,-0.006490119258232837,K562 vs CD4+T (Rest),Rest,,19.0,33.0,59.0,47.0
119,RBFA,0.5367208994092219,0.0,-0.014572720352040214,-0.005560133201046466,-0.001126107679724096,K562 vs CD4+T (Rest),Rest,,15.0,110.0,215.0,129.0
120,SLC25A1,0.536205535332526,0.0,0.10102873064490733,-0.0027837569402123378,0.08187977782951877,K562 vs CD4+T (Rest),Rest,,4.0,72.0,115.0,86.0
121,ZNF384,0.534790704896843,0.0,-0.046446973920364926,-0.0006322181439523851,-0.002774520159149235,K562 vs CD4+T (Rest),Rest,0.7447460257170474,6.0,64.0,68.0,70.0
122,DDX17,0.5342810466978571,0.0,0.026625420249652,-0.0904565930765585,-0.014005595137981669,K562 vs CD4+T (Rest),Rest,0.5303856368932341,49.0,448.0,394.0,452.0
123,ATP5PO,0.5339701468728316,0.0,0.012913390924472636,0.059533386415259446,0.024832207586575058,K562 vs CD4+T (Rest),Rest,0.4466547340652125,13.0,182.0,234.0,152.0
124,NDUFA8,0.5335526178952442,0.0,-0.023416413087982653,0.05089530949467357,0.03917637559740307,K562 vs CD4+T (Rest),Rest,0.2934078458257803,5.0,99.0,187.0,88.0
125,EMC2,0.5319603716847583,0.0,-0.004486694566715827,-0.0017397776905907734,0.002970379629260716,K562 vs CD4+T (Rest),Rest,,4.0,58.0,102.0,84.0
126,NKAPD1,0.5316909830470582,0.0,0.04741992121122658,0.010507733982866892,0.016236649673141694,K562 vs CD4+T (Rest),Rest,0.3200358888270023,87.0,278.0,262.0,290.0
127,PPRC1,0.5308136138075994,0.0,-0.14870212970507074,-0.03142990117606602,0.0063292914109397145,K562 vs CD4+T (Rest),Rest,0.4753778784177572,57.0,68.0,67.0,64.0
128,KYAT3,0.5301054914756101,0.0,0.024305412767433397,0.0015555703804622364,0.015603945516504847,K562 vs CD4+T (Rest),Rest,,6.0,10.0,12.0,14.0
129,MOV10,0.5293470301900031,0.0,-0.01800271877138473,-0.020547944500280278,-0.007921436410102903,K562 vs CD4+T (Rest),Rest,0.0368842777499678,14.0,396.0,400.0,391.0
130,LARP7,0.5293236461360956,0.0,0.01095299389314918,0.011541154580007148,-0.003631334100448354,K562 vs CD4+T (Rest),Rest,,15.0,28.0,37.0,30.0
131,RNF41,0.5286219385349301,0.0,0.07586075052485011,-0.003955458769011398,-0.002230282051969368,K562 vs CD4+T (Rest),Rest,0.2975557073824552,15.0,117.0,106.0,115.0
132,EIF3K,0.5272425897006796,0.0,-0.060336714419202575,-0.013009356943654737,-0.002526734047593082,K562 vs CD4+T (Rest),Rest,0.5787462562778484,7.0,213.0,245.0,235.0
133,RBPJ,0.5270109694217628,0.0,-0.017874840097178886,0.007001740469400975,-0.0019301016834804815,K562 vs CD4+T (Rest),Rest,0.7174830278512895,6.0,108.0,120.0,108.0
134,TMED2,0.5266975566927797,0.0,-0.014745096624282856,0.003687720438463627,0.009923342230285548,K562 vs CD4+T (Rest),Rest,0.2446707889013036,90.0,125.0,118.0,134.0
135,MED12,0.5260477899340272,0.0,0.08418904364158186,0.1300955651873808,0.16340308148439875,K562 vs CD4+T (Rest),Rest,0.723523675656954,782.0,1390.0,1181.0,1587.0
136,ZC3H14,0.5257171909230647,0.0,-0.00685161625685553,0.0043921835602686015,-0.014811512036542235,K562 vs CD4+T (Rest),Rest,,11.0,40.0,45.0,49.0
137,NARS2,0.5235534361562585,0.0,0.05269023823129356,0.007375173083861864,-0.017764241167671987,K562 vs CD4+T (Rest),Rest,,20.0,51.0,64.0,58.0
138,MAU2,0.5216914617703702,0.0,-0.042670092513939537,0.029085415154179374,0.006426262151300301,K562 vs CD4+T (Rest),Rest,0.4321479530475526,4.0,149.0,139.0,154.0
139,FBXO46,0.5216784471142338,0.0,0.028490417685811228,-0.037319978226696915,0.037689517892627575,K562 vs CD4+T (Rest),Rest,,5.0,65.0,72.0,76.0
140,TTC4,0.5208056582259187,0.0,-0.0237343518778185,0.02691136684856451,-0.001180040853485356,K562 vs CD4+T (Rest),Rest,0.3974274378627851,31.0,145.0,125.0,129.0
141,ANKZF1,0.5207559745757161,0.0,0.014218716746945559,0.023786758756183406,-0.007366692601989397,K562 vs CD4+T (Rest),Rest,0.1178067237363355,9.0,55.0,54.0,56.0
142,RPE,0.5204550355933012,0.0,0.005456568456532817,0.09615322011299925,0.056358908636842044,K562 vs CD4+T (Rest),Rest,,6.0,99.0,123.0,112.0
143,LIN37,0.5202052161244682,0.0,0.007501494574140842,-0.059635312606520774,-0.02073339270381982,K562 vs CD4+T (Rest),Rest,0.5701327363150552,53.0,139.0,83.0,155.0
144,FLCN,0.5200408994273831,0.0,-0.00047971602869035374,0.04201880803168734,0.014430558646255597,K562 vs CD4+T (Rest),Rest,,3.0,43.0,76.0,45.0
145,KHDRBS1,0.5196495786857153,0.0,0.017706145334382875,-0.002672002937270561,0.043290715940377526,K562 vs CD4+T (Rest),Rest,0.1250671648707658,6.0,118.0,110.0,163.0
146,ACLY,0.5188496780501629,0.0,0.08070361425914042,-0.0034516242364300087,0.008323539617587665,K562 vs CD4+T (Rest),Rest,,24.0,311.0,647.0,520.0
