,variable,gene_name,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
ENSG00000122188,ENSG00000122188,LAX1,3.9219118152366863,-0.0075055443634504,0.0127815114254459,-0.5872188439708356,0.5570567381208479,0.7116075567558275,age_bin (Yaza2022 Discovery),-0.5872188439708381
ENSG00000058673,ENSG00000058673,ZC3H11A,0.1703452904142467,0.044639030392534,0.0483515198224774,0.9232187645068072,0.3558932120040364,1.0,age_bin (Yaza2022 Discovery),0.9232187645068075
ENSG00000257315,ENSG00000257315,ZBED6,0.1566274715666755,0.0294260678776429,0.0516445620249244,0.5697805678638821,0.5688265369442793,1.0,age_bin (Yaza2022 Discovery),0.569780567863882
ENSG00000143842,ENSG00000143842,SOX13,0.1559812754452119,0.0625893854097201,0.0553629513620318,1.1305283383545226,0.2582536644182149,1.0,age_bin (Yaza2022 Discovery),1.1305283383545233
ENSG00000133056,ENSG00000133056,PIK3C2B,0.8141367092923288,0.0258944530984525,0.0232779827723641,1.1124010766600732,0.2659657419162246,0.4508717001304537,age_bin (Yaza2022 Discovery),1.112401076660075
ENSG00000198625,ENSG00000198625,MDM4,25.7935573506631,0.0136271419446832,0.0063635019610927,2.1414532482273465,0.0322375048073817,0.1100059281573378,age_bin (Yaza2022 Discovery),2.14145324822737
ENSG00000240710,ENSG00000240710,RP11-430C7.4,0.296678517106017,0.0585102349642072,0.0355712599440876,1.6448738407404169,0.0999958305451808,0.239338462401199,age_bin (Yaza2022 Discovery),1.6448738407404193
ENSG00000240219,ENSG00000240219,RP11-430C7.5,0.0977313786124445,0.0194853543333529,0.053492417772854,0.3642638554139385,0.7156609876772604,1.0,age_bin (Yaza2022 Discovery),0.3642638554139388
ENSG00000184144,ENSG00000184144,CNTN2,0.1796162814839396,0.0240366363986571,0.0444574503346228,0.5406661024808656,0.58873774681935,1.0,age_bin (Yaza2022 Discovery),0.5406661024808642
ENSG00000174529,ENSG00000174529,TMEM81,0.0810106855955788,0.0596920751677106,0.0625267257929657,0.9546649758274406,0.3397471471122929,1.0,age_bin (Yaza2022 Discovery),0.9546649758274405
ENSG00000117222,ENSG00000117222,RBBP5,2.9490601180706326,0.0198090761264477,0.0133599600938951,1.4827197077856142,0.1381488962842883,0.2952744813321407,age_bin (Yaza2022 Discovery),1.482719707785621
ENSG00000133059,ENSG00000133059,DSTYK,4.331762924425438,0.0284933586563855,0.0104702475518444,2.7213643722651204,0.0065013057021504,0.0357650108044933,age_bin (Yaza2022 Discovery),2.7213643722651253
ENSG00000163545,ENSG00000163545,NUAK2,1.8683008911496477,0.0108257445140959,0.0152728812483757,0.70882136369961,0.4784353385287491,0.6479886375824819,age_bin (Yaza2022 Discovery),0.7088213636996122
ENSG00000117266,ENSG00000117266,CDK18,0.1348731708744664,-0.0433005042530984,0.0492622213510503,-0.8789799376794696,0.3794121538153537,1.0,age_bin (Yaza2022 Discovery),-0.8789799376794689
ENSG00000174514,ENSG00000174514,MFSD4A,0.2720010367120137,0.0451939888272382,0.0337665607988958,1.3384243985166526,0.1807581298215524,0.3517331733906718,age_bin (Yaza2022 Discovery),1.338424398516656
ENSG00000158711,ENSG00000158711,ELK4,7.352416469148138,0.004716412216558,0.0086765870189748,0.543579198392612,0.5867310774520514,0.7344134627247975,age_bin (Yaza2022 Discovery),0.5435791983926046
ENSG00000069275,ENSG00000069275,NUCKS1,39.40421082147045,0.0090119197331838,0.0048031865602073,1.876237705993848,0.0606226466271601,0.1707335804509586,age_bin (Yaza2022 Discovery),1.8762377059938427
ENSG00000117280,ENSG00000117280,RAB29,8.928159863899108,0.0058543384496863,0.008395976221588,0.6972790650161063,0.4856281669142197,0.6531521268502624,age_bin (Yaza2022 Discovery),0.6972790650161013
ENSG00000133065,ENSG00000133065,SLC41A1,1.5411259861506243,-0.0123632056381144,0.0173340030797536,-0.7132343049226066,0.475700781751979,0.6465887878092779,age_bin (Yaza2022 Discovery),-0.7132343049226078
ENSG00000286619,ENSG00000286619,RP4-681L3.3,0.5708341636915606,0.0246994675343024,0.0384719558466944,0.6420122655766837,0.5208652190952574,0.6826105531465534,age_bin (Yaza2022 Discovery),0.6420122655766833
ENSG00000196550,ENSG00000196550,FAM72A,0.0879743111975521,0.0778006747705988,0.0726399640278099,1.0710450619277998,0.284149168565968,1.0,age_bin (Yaza2022 Discovery),1.0710450619277998
ENSG00000266028,ENSG00000266028,SRGAP2,0.9003181179305259,0.0153830619365142,0.0231923095814956,0.663282881873392,0.5071493978555661,0.6718258486173845,age_bin (Yaza2022 Discovery),0.6632828818733884
ENSG00000263528,ENSG00000263528,IKBKE,5.502858868986705,0.024259789947037,0.0103347191471067,2.3474067946808783,0.0189046023027223,0.0758428228184717,age_bin (Yaza2022 Discovery),2.3474067946808943
ENSG00000261000,ENSG00000261000,RP11-534L20.5,0.1450500570980379,0.0786299893224627,0.0503400427725638,1.5619770066090874,0.1182934056925688,1.0,age_bin (Yaza2022 Discovery),1.561977006609089
ENSG00000237605,ENSG00000237605,DYRK3-AS1,0.293138984941611,0.0432740232963306,0.043124363622994,1.0034704204482872,0.3156339418079409,0.5038335866871892,age_bin (Yaza2022 Discovery),1.003470420448287
ENSG00000162892,ENSG00000162892,IL24,0.3787684792320157,0.0886474621762952,0.0357722482447201,2.4781070949148165,0.0132081493532765,0.0589206197918869,age_bin (Yaza2022 Discovery),2.478107094914823
ENSG00000162894,ENSG00000162894,FCMR,27.704707535794864,-0.0282400116764658,0.0054906211018722,-5.14331824260035,2.699277960540074e-07,8.263115756740248e-06,age_bin (Yaza2022 Discovery),-5.143318242600364
ENSG00000123836,ENSG00000123836,PFKFB2,0.0917078347208755,0.0304281406355833,0.0587506091356263,0.5179204281157271,0.6045137884844288,1.0,age_bin (Yaza2022 Discovery),0.5179204281157268
ENSG00000180667,ENSG00000180667,YOD1,0.5798411539816599,-0.0103567085169551,0.0272434037898885,-0.3801547191690885,0.7038305692886115,0.8198903184777994,age_bin (Yaza2022 Discovery),-0.38015471916908683
ENSG00000196352,ENSG00000196352,CD55,14.269042892111283,0.0135147308706065,0.0084619987422507,1.5971085889114542,0.1102415039784995,0.2558306509139829,age_bin (Yaza2022 Discovery),1.5971085889114522
ENSG00000117322,ENSG00000117322,CR2,0.1096589975494986,-0.1268561215062457,0.0607772883525115,-2.0872290446798702,0.0368674351978926,1.0,age_bin (Yaza2022 Discovery),-2.087229044679872
ENSG00000203710,ENSG00000203710,CR1,0.4387892248741716,-0.3475872817924196,0.0343250623433866,-10.126340873475174,4.2215236719511245e-24,1.1889217834771684e-21,age_bin (Yaza2022 Discovery),-10.126340873475183
ENSG00000117335,ENSG00000117335,CD46,10.1703491506203,0.0270852291806993,0.0076103749744656,3.5589874706011173,0.0003722872895474,0.00392691049861,age_bin (Yaza2022 Discovery),3.5589874706011084
ENSG00000203709,ENSG00000203709,MIR29B2CHG,2.2831089213232314,0.0655239700807824,0.014542913526837,4.505560042000277,6.619811726333162e-06,0.0001354256398929,age_bin (Yaza2022 Discovery),4.505560042000297
ENSG00000227591,ENSG00000227591,HSD11B1-AS1,0.3785757458551225,0.0191038766555027,0.0336102043147969,0.5683951360894341,0.5697666923832383,0.7215166043084503,age_bin (Yaza2022 Discovery),0.5683951360894349
